domain,vocabulary_type,term,korean_label,sensory_family,mapped_existing_objects,candidate_object_id,core_axes,suggested_phrase_cues,negative_cues,integration_status,notes
fragrance,note,bergamot,베르가못,Citrus,citrus_peel,bergamot_brightness,temperature=Cool; texture=Sharp; light=Bright,쌉싸름한 시트러스 껍질|차갑고 선명한 감귤빛|상큼하지만 달지 않은 향,creamy|smoky|heavy,candidate_object,citrus_peel에서 분화 가능한 향수 도메인 후보
fragrance,note,neroli,네롤리,Floral / Citrus,fresh_linen|citrus_peel,neroli_air,temperature=Cool; light=Soft Glow; atmosphere=Fresh,하얀 꽃과 시트러스가 섞인 공기|비누처럼 맑은 꽃향|차갑게 떠오르는 꽃의 밝기,leather|smoke|dark chocolate,candidate_object,꽃과 시트러스 사이의 투명한 후보
fragrance,note,orange blossom,오렌지 블로섬,Floral / Citrus,fresh_linen|citrus_peel,orange_blossom_softness,texture=Soft; light=Soft Glow; atmosphere=Clean,하얀 꽃의 부드러운 시트러스감|달지 않은 오렌지 꽃 공기|깨끗하고 포근한 꽃향,charred_oak|tobacco|metallic,candidate_object,네롤리보다 더 부드러운 꽃 후보
fragrance,note,rose,장미,Floral,velvet,rose_petal_glow,temperature=Warm; texture=Soft; light=Soft Glow,부드러운 꽃잎의 붉은 빛|촉촉한 장미 꽃잎|벨벳처럼 낮은 꽃향,metallic|smoky|asphalt,candidate_object,기존 floral ontology 확장 후보
fragrance,note,jasmine,재스민,Floral,organza|fresh_linen,jasmine_lift,temperature=Warm; motion=Rise; atmosphere=Perfumed,밤에 피는 흰 꽃의 향|공기 중으로 올라오는 꽃향|따뜻하고 투명한 플로럴,wet_stone|cold_metal|ash,candidate_object,향수/커피 공통 floral 후보
fragrance,note,iris,아이리스,Powdery Floral,velvet|dry_herb,cosmetic_powder,texture=Powdery; light=Matte; density=Soft,분처럼 보송한 꽃향|매트하고 고운 잔향|화장품 파우더 같은 플로럴,wet|metallic|sharp,candidate_object,powdery 계열과 연결
fragrance,note,violet,바이올렛,Powdery Floral,film_grain|velvet,powder_cloud,texture=Powdery; atmosphere=Muted; light=Diffuse,보라빛 분가루 같은 향|조용히 흐려지는 꽃향|가루처럼 부드러운 잔향,aquatic|smoky|salty,candidate_object,와인 violet descriptor와 공유 가능
fragrance,note,lavender,라벤더,Herbal Floral,dry_herb|clean_room,herbal_clean_lavender,temperature=Cool; texture=Dry; atmosphere=Clean,마른 허브와 비누 사이의 향|차분하고 깨끗한 보라빛 허브|잠들기 전의 드라이한 꽃향,leather|tar|jammy,candidate_object,herbal/clean 축 후보
fragrance,note,musk,머스크,Musk,warm_cotton|clean_room,skin_musk_warmth,temperature=Warm; texture=Soft; atmosphere=Skin,살갗 가까이 남는 따뜻한 향|깨끗한 피부의 부드러운 잔향|몸 가까이 머무는 머스크,smoke|asphalt|sharp citrus,candidate_object,skin scent와 연결
fragrance,note,white musk,화이트 머스크,Clean Musk,fresh_linen|clean_room,white_musk_clean_skin,temperature=Cool; texture=Clean; atmosphere=Clean Room,하얗고 깨끗한 살냄새|세탁물과 피부 사이의 향|차갑지 않은 깨끗한 머스크,tobacco|charred|earthy,candidate_object,clean/laundry 후보
fragrance,accord,amber,앰버,Amber / Resin,honeycomb|vanilla_cream,amber_glow,temperature=Warm; light=Golden; density=Thick,따뜻한 금빛 잔향|달고 두꺼운 수지감|피부 위에 남는 앰버의 온기,cold_metal|fresh_linen|ozonic,candidate_object,resinous/gourmand 경계
fragrance,note,ambergris,앰버그리스,Marine Amber,sea_breeze|warm_cotton,warm_resin,temperature=Warm; texture=Smooth; atmosphere=Skin,짠 공기와 따뜻한 피부감|바다와 수지가 섞인 잔향|짭짤하지만 부드러운 깊이,clean laundry|sharp citrus|green stem,candidate_object,해양/동물성 표현은 리뷰 필요
fragrance,note,sandalwood,샌달우드,Woody Creamy,old_wood|cedarwood,creamy_sandalwood,temperature=Warm; texture=Smooth; density=Medium,부드럽고 크리미한 나무향|매끈하게 깔리는 우디함|따뜻한 목재의 둥근 잔향,metallic|asphalt|ozonic,candidate_object,우디 크리미 후보
fragrance,note,cedarwood,시더우드,Woody,cedarwood,,temperature=Warm; texture=Dry; rendering=Detail-first,마른 목재|깨끗한 나무향|연필 깎은 나무,creamy|wet|jammy,existing_object,기존 cedarwood에 매핑
fragrance,note,vetiver,베티버,Rooty / Woody,dry_herb|bark,rooty_vetiver,temperature=Cool; texture=Dry; atmosphere=Earthy,뿌리처럼 드라이한 풀향|흙과 나무 사이의 쌉쌀함|차갑고 건조한 우디 그린,vanilla|cream|laundry,candidate_object,rooty green 후보
fragrance,note,patchouli,패출리,Earthy / Woody,forest_floor|tobacco_leaf,dark_resin,temperature=Warm; texture=Dense; atmosphere=Earthy,어둡고 축축한 잎의 향|흙과 수지가 섞인 깊이|달큰하지만 어두운 식물감,clean_room|citrus|metallic,candidate_object,earthy resin 후보
fragrance,note,leather,가죽,Leather,leather,,texture=Dry; density=Dense; atmosphere=Dark,오래된 가죽 소파|마른 가죽 재킷|동물성이고 드라이한 향,fresh_linen|citrus|ozonic,existing_object,기존 leather와 연결
fragrance,note,suede,스웨이드,Leather / Soft,suede,,texture=Powdery; light=Matte; density=Soft,스웨이드처럼 보송한 질감|매트한 가죽|짧은 털감,wet|metallic|citrus,existing_object,기존 suede와 연결
fragrance,note,incense,인센스,Smoke / Resin,fireplace_ash|old_library,incense_smoke,texture=Dry; motion=Rise; atmosphere=Temple,마른 향 연기|조용히 올라가는 수지 연기|어두운 방에 남는 인센스,fresh_linen|aquatic|green stem,candidate_object,smoke와 resin의 경계
fragrance,accord,aldehydic,알데하이딕,Sparkling Clean,clean_room|silver_spoon,aldehydic_sparkle,temperature=Cool; light=Sparkling; texture=Clean,비누 거품처럼 반짝이는 향|차갑고 깨끗한 스파클|금속성 없이 밝게 튀는 청결감,leather|earthy|smoke,candidate_object,clean sparkle 후보
fragrance,texture_descriptor,powdery,파우더리,Texture,velvet|warm_cotton,powder_cloud,texture=Powdery; density=Soft; atmosphere=Muted,가루처럼 부드러운 향|건조하고 보송한 잔향|화장품 파우더 같은 느낌,wet|metallic|sharp,candidate_object,향수/화장품/차 계열 확장 가능
fragrance,accord,aquatic,아쿠아틱,Water / Clean,sea_breeze|mountain_stream,aquatic_clean_water,temperature=Cool; texture=Clean; motion=Flow,깨끗한 물처럼 흐르는 향|차갑고 투명한 물기|비누보다 물에 가까운 청량감,smoke|leather|dark resin,candidate_object,water-air 계열 후보
fragrance,accord,ozonic,오조닉,Air / Clean,cold_fog|clean_room,ozonic_air,temperature=Cool; texture=Airy; light=Pale,비 온 뒤 공기처럼 맑은 느낌|전기처럼 차가운 공기|창문을 연 듯한 산소감,vanilla|tobacco|barrel,candidate_object,air/rain 후보
fragrance,family,green,그린,Green / Vegetal,green_stem|dry_herb,green_leaf_crush,temperature=Cool; texture=Crisp; atmosphere=Garden,잎을 으깬 듯한 초록 향|풋풋하고 아삭한 녹색감|줄기와 잎의 물기,amber|leather|smoke,candidate_object,green family 후보
fragrance,accord,lactonic,락토닉,Milky / Creamy,vanilla_cream|warm_cotton,lactonic_milk_softness,temperature=Warm; texture=Creamy; density=Soft,우유처럼 부드럽고 둥근 향|크리미하지만 과하게 달지 않은 느낌|하얗게 감싸는 밀키함,metallic|citrus|dry herb,candidate_object,gourmand/skin 경계
fragrance,family,gourmand,구르망,Sweet / Edible,vanilla_cream|burnt_sugar|butter_toast,golden_density,temperature=Warm; density=Thick; texture=Smooth,먹을 수 있을 것 같은 따뜻한 단맛|금빛으로 두껍게 남는 향|크림과 설탕 사이의 밀도,metallic|ozonic|green,candidate_object,넓은 family라 직접 통합은 주의
fragrance,note,vanilla,바닐라,Sweet / Creamy,vanilla_cream,,temperature=Warm; texture=Smooth; density=Soft,바닐라 크림|하얗고 둥근 단맛|부드러운 크림 향,metallic|green|salty,existing_object,기존 vanilla_cream에 매핑
fragrance,note,tonka bean,통카빈,Sweet Spice,vanilla_cream|burnt_sugar,sweet_spice,temperature=Warm; texture=Smooth; atmosphere=Sweet,바닐라와 향신료 사이의 단맛|따뜻한 콩의 달큰함|부드럽고 어두운 스파이스,ozonic|metallic|wet stone,candidate_object,sweet spice 후보
fragrance,note,fig,무화과,Fruit / Green / Milky,green_stem|honeycomb,fig_leaf_green,temperature=Warm; texture=Milky; atmosphere=Green,무화과 잎의 초록 우유감|과일보다 잎이 먼저 떠오르는 향|따뜻하고 푸른 밀키함,smoke|metallic|asphalt,candidate_object,fragrance/wine/whisky 공통
fragrance,note,tea,차,Tea / Dry,black_tea|dry_herb,tea_like_clarity,temperature=Warm; texture=Dry; rendering=Detail-first,차처럼 맑고 건조한 잔향|찻잎이 우러나는 투명함|떫지만 깨끗한 향,cream|smoke|jammy,candidate_object,black_tea와 별도 clarity 후보
fragrance,accord,soap,비누,Clean,clean_room|fresh_linen,soap_clean,temperature=Cool; texture=Clean; atmosphere=Clean Room,비누 거품 같은 깨끗함|하얗고 미끄러운 청결감|욕실에서 막 나온 듯한 향,leather|tobacco|smoke,candidate_object,clean accord 후보
fragrance,accord,skin scent,살냄새,Skin / Musk,warm_cotton|cashmere,skin_musk_warmth,temperature=Warm; texture=Soft; atmosphere=Skin,살갗 가까이 남는 향|체온 섞인 부드러움|향수보다 피부에 가까운 잔향,asphalt|metallic|ash,candidate_object,musk/skin 후보
fragrance,accord,clean laundry,깨끗한 세탁물,Laundry Clean,fresh_linen|clean_room|warm_cotton,laundry_musk,temperature=Cool; texture=Clean; atmosphere=Fresh,막 마른 세탁물 냄새|하얗고 보송한 머스크|세제보다 부드러운 청결감,tobacco|barrel|earth,candidate_object,fresh_linen에서 분화 가능
fragrance,texture_descriptor,metallic,메탈릭,Metal,cold_metal|silver_spoon,,temperature=Cold; texture=Hard; light=Metallic,차가운 금속성|입안의 은빛 감각|단단하고 깨끗한 반짝임,cream|soft musk|honey,axis_descriptor,주로 axis descriptor
fragrance,texture_descriptor,mineral,미네랄,Mineral,wet_stone|slate|granite,mineral_spark,temperature=Cool; texture=Hard; light=Matte,차갑고 건조한 미네랄감|돌가루 같은 투명함|물기 어린 광물의 잔향,cream|vanilla|skin,candidate_object,mineral family 후보
fragrance,atmosphere_descriptor,rain,비,Rain / Air,rain_on_asphalt|after_rain_garden|cold_fog,,time=After-rain; texture=Moist; atmosphere=Rainy,비 온 뒤 공기|젖은 표면의 냄새|물기 어린 잔향,burnt sugar|vanilla|leather,axis_descriptor,문맥에 따라 object 분기 필요
fragrance,note,wet soil,젖은 흙,Earth / Rain,forest_floor|after_rain_garden,wet_soil,temperature=Cool; texture=Moist; atmosphere=Earthy,비 맞은 흙 냄새|젖은 정원 바닥|흙이 숨 쉬는 듯한 향,clean laundry|metallic|vanilla,candidate_object,earthy 후보
whisky,tasting_descriptor,peat smoke,피트 스모크,Smoke,fireplace_ash|charred_oak,peat_smoke,texture=Dry; atmosphere=Dark; motion=Linger,젖은 흙과 연기가 섞인 느낌|꺼지지 않은 스모키함|짙고 건조한 연기,fresh_linen|citrus|clean_room,candidate_object,위스키 도메인 후보
whisky,tasting_descriptor,fireplace ash,벽난로 재,Smoke / Ash,fireplace_ash,,texture=Powdery; atmosphere=Dark; density=Light,식은 벽난로 재|회색 가루 연기|불 꺼진 뒤의 잔향,citrus|laundry|green,existing_object,기존 object
whisky,tasting_descriptor,charred oak,그을린 오크,Wood / Smoke,charred_oak,,texture=Dry; atmosphere=Barrel Cellar; time=Roasted,탄 오크통 안쪽|달큰하게 그을린 나무|드라이한 탄 목재,fresh_linen|aquatic|citrus,existing_object,기존 object
whisky,accord,sherry cask,셰리 캐스크,Cask / Dried Fruit,barrel_cellar|dark_chocolate,sherry_dried_fruit,temperature=Warm; density=Thick; atmosphere=Aged,말린 과일과 오크통|어둡고 달큰한 숙성감|진한 셰리 캐스크 느낌,clean_room|sea_breeze|green stem,candidate_object,dried fruit cask 후보
whisky,accord,bourbon cask,버번 캐스크,Vanilla / Oak,vanilla_cream|charred_oak,bourbon_vanilla_oak,temperature=Warm; texture=Smooth; atmosphere=Barrel,바닐라와 오크가 섞인 향|달큰한 통나무 느낌|부드럽게 그을린 버번 캐스크,wet_stone|sea_breeze|green pepper,candidate_object,vanilla oak 후보
whisky,tasting_descriptor,vanilla cream,바닐라 크림,Sweet / Cream,vanilla_cream,,temperature=Warm; texture=Smooth; density=Soft,바닐라 크림|하얗고 둥근 단맛|부드러운 단향,smoke|metallic|iodine,existing_object,기존 object
whisky,tasting_descriptor,burnt sugar,탄 설탕,Caramelized,burnt_sugar,,temperature=Warm; texture=Sticky; light=Dark,탄 설탕|카라멜 가장자리|어둡고 달큰한 잔향,green|mineral|clean,existing_object,기존 object
whisky,tasting_descriptor,dried fruit,말린 과일,Dried Fruit,tobacco_leaf|dark_chocolate,sherry_dried_fruit,temperature=Warm; density=Dense; atmosphere=Aged,건포도처럼 말린 단맛|짙게 졸아든 과일|어두운 과일 잔향,fresh_linen|ozonic|green stem,candidate_object,와인/위스키 공통
whisky,note,raisin,건포도,Dried Fruit,dark_chocolate|tobacco_leaf,sherry_dried_fruit,temperature=Warm; texture=Sticky; density=Dense,건포도 같은 진한 단맛|검게 말린 과일 향|셰리 같은 농도,citrus|clean_room|green,candidate_object,dried fruit 하위
whisky,note,fig,무화과,Fruit / Dried,honeycomb|green_stem,fig_leaf_green,temperature=Warm; texture=Soft; atmosphere=Green,무화과의 푸른 단맛|말린 무화과의 밀도|잎과 과육 사이의 향,metallic|ash|ozonic,candidate_object,fragrance와 공유
whisky,tasting_descriptor,dark chocolate,다크 초콜릿,Cocoa,dark_chocolate,,temperature=Warm; density=Dense; texture=Dry,다크 초콜릿|카카오 가루|쌉쌀한 단맛,aquatic|laundry|green,existing_object,기존 object
whisky,note,malt,몰트,Cereal,butter_toast|roasted_almond,malt_cereal_warmth,temperature=Warm; texture=Grainy; atmosphere=Bakery,따뜻한 곡물 향|맥아의 고소함|마른 시리얼 같은 단맛,iodine|metallic|green stem,candidate_object,grain/cereal 후보
whisky,note,cereal,시리얼,Cereal,butter_toast|warm_cotton,malt_cereal_warmth,temperature=Warm; texture=Dry; light=Golden,마른 곡물 향|따뜻하고 고소한 시리얼|바삭한 곡물 잔향,smoke|mineral|wet,candidate_object,malt와 연결
whisky,note,honey,꿀,Honey,honeycomb,,temperature=Warm; texture=Sticky; light=Golden,꿀 같은 점성|금빛 단맛|천천히 남는 달콤함,metallic|green|ash,existing_object,기존 object
whisky,note,heather,헤더꽃,Floral / Herbal,dry_herb|honeycomb,heather_honey_air,temperature=Warm; texture=Dry; atmosphere=Field,마른 꽃과 꿀 사이의 향|들판의 허브 단맛|가볍고 따뜻한 꽃꿀,metallic|barrel|asphalt,candidate_object,whisky floral 후보
whisky,tasting_descriptor,sea salt,바다 소금,Salty / Coastal,sea_breeze,iodine_coast,temperature=Cool; texture=Dry; atmosphere=Seaside,짭짤한 해안 공기|소금기 어린 끝맛|바다 근처의 건조한 짠맛,vanilla|cream|tobacco,candidate_object,coastal axis 후보
whisky,note,iodine,아이오딘,Medicinal / Coastal,sea_breeze|silver_spoon,iodine_coast,temperature=Cool; texture=Sharp; atmosphere=Coastal,약품 같은 바다 냄새|짠 금속성과 해안 공기|차갑고 날카로운 해양감,vanilla|honey|cream,candidate_object,medicinal/coastal 후보
whisky,accord,coastal air,해안 공기,Coastal,sea_breeze,iodine_coast,temperature=Cool; motion=Spread; atmosphere=Seaside,해안가의 찬 공기|넓게 퍼지는 짠 바람|바다에서 밀려오는 냉기,barrel|leather|dark chocolate,candidate_object,sea_breeze와 연결
whisky,note,leather,가죽,Leather,leather,,texture=Dry; density=Dense; atmosphere=Aged,오래된 가죽|마른 재킷|동물성 드라이함,citrus|clean|aquatic,existing_object,기존 object
whisky,note,tobacco,담배잎,Tobacco,tobacco_leaf,,texture=Dry; density=Dense; atmosphere=Aged,담뱃잎|마른 갈색 잎|달큰하고 어두운 식물감,fresh_linen|citrus|ozonic,existing_object,기존 object
whisky,tasting_descriptor,nutty,견과류 같은,Nutty,roasted_almond,coffee_roasted_nut,temperature=Warm; texture=Dry; atmosphere=Roasted,구운 견과의 고소함|마른 견과 가루|따뜻한 너티함,aquatic|metallic|green,candidate_object,coffee와 공유
whisky,note,almond,아몬드,Nutty,roasted_almond,coffee_roasted_nut,temperature=Warm; texture=Dry; light=Golden,구운 아몬드|고소한 견과 향|따뜻한 아몬드 가루,sea_breeze|cold_metal|green,existing_object,기존 roasted_almond와 연결
whisky,tasting_descriptor,spice,스파이스,Spice,dry_herb|charred_oak,dry_spice,temperature=Warm; texture=Dry; motion=Linger,마른 향신료|따뜻하고 톡 쏘는 잔향|드라이한 스파이스,aquatic|clean_room|cream,candidate_object,넓은 descriptor
whisky,note,cinnamon,시나몬,Sweet Spice,burnt_sugar|dry_herb,sweet_spice,temperature=Warm; texture=Powdery; atmosphere=Sweet,달큰한 계피 가루|따뜻한 스파이스 단맛|부드럽게 맴도는 향신료,metallic|wet stone|ozonic,candidate_object,sweet spice 후보
whisky,note,clove,클로브,Dark Spice,charred_oak|tobacco_leaf,dry_spice,temperature=Warm; texture=Sharp; atmosphere=Dark,어둡고 날카로운 향신료|마른 정향의 톡 쏨|따뜻하지만 드라이한 스파이스,fresh_linen|aquatic|cream,candidate_object,dark spice 후보
whisky,tasting_descriptor,oak tannin,오크 타닌,Wood / Tannin,cedarwood|charred_oak,oak_tannin_dryness,temperature=Warm; texture=Dry; motion=Grip,입안을 조이는 마른 오크|나무결 같은 드라이함|떫고 단단한 목재감,cream|honey|laundry,candidate_object,tannin과 oak 경계
whisky,accord,barrel cellar,오크통 숙성고,Cellar,barrel_cellar,,temperature=Cool; density=Thick; atmosphere=Aged,오크통 숙성고|어둡고 습한 나무|두꺼운 숙성감,clean_room|sea_breeze|citrus,existing_object,기존 object
whisky,tasting_descriptor,medicinal,약품 같은,Medicinal,silver_spoon|cold_metal,medicinal_smoke,temperature=Cool; texture=Sharp; atmosphere=Clinical,약품 같은 차가움|차갑고 날카로운 병원 느낌|스모키함 속의 약품감,vanilla|honey|cashmere,candidate_object,위스키에서 리뷰 필요
whisky,texture_descriptor,waxiness,왁시함,Wax / Polish,old_library|silver_spoon,wax_polish,texture=Smooth; light=Soft Gloss; density=Medium,왁스로 닦은 표면|매끈한 밀랍 광택|오래된 가구의 윤기,asphalt|green stem|sharp citrus,candidate_object,texture candidate
wine,tasting_descriptor,red fruit,붉은 과일,Fruit,honeycomb,red_fruit_juiciness,temperature=Warm; texture=Juicy; light=Ruby,붉은 과일의 산뜻한 과즙|체리 같은 밝은 단맛|가볍게 터지는 붉은 향,smoke|leather|mineral,candidate_object,wine fruit 후보
